Name,Languages,Translated (Words),Target Words,Approved (Words),Votes Made
PsekDoms17,Spanish,325,346,0,0
Ezio Lacandia Bijelkic (ezio84-xda),Italian,311,319,0,22
argraur,Russian,307,269,0,0
Артём Лабазов (ab123321),Russian,307,277,0,7
cydia2020,Japanese,298,920,0,0
Özgür (Roxy),Turkish,293,244,0,6
xdygxh,Chinese Simplified,293,501,0,0
weixuan (weixuanxie),Chinese Simplified,292,457,0,0
Federico Porcu (Kikk0s) (federico_porcu),Italian,286,299,0,12
Thomas DE SA (dekefake),French,285,324,0,7
ExideTV - Games and more (zadnica193),Russian,282,228,0,1
Ibai Lope (ibaraka95),Spanish,266,292,0,0
sossio18,Italian,260,245,0,0
Piotrek Paszek (pitusek513),Polish,260,241,0,0
marti201,Bulgarian,259,255,0,0
Belkacem Mohammed (belkacem77),Kabyle,257,307,0,0
Slavomír Spyderco Pavúk (trance11),Slovak,254,232,0,0
itaysonlab,Russian,250,201,0,0
Marin (MannaHoc),French,250,291,0,0
Ingan121,Korean,246,600,0,0
dadi11,Polish,245,246,0,0
Bastien Allaoui (bastoch-bibou),French,241,280,0,21
Martin Coulon (martinusbe),Dutch,241,239,0,0
Tomi_Ohl,Hungarian,229,205,0,14
Vaibhav Birla (vabirla101),Bengali,224,408,0,0
Andrea Balzarotti (balzabalza),Italian,220,226,0,4
pato gonzalez (patogg98),Spanish,216,234,0,0
dark8899,Spanish,216,223,0,0
Raj Yadav (rajyadav_np),Hindi,216,352,0,0
Simos Katsiaris (lunarmarshall),Greek,211,197,0,2
Frank J Marval A (skatehawk201),Spanish,210,221,0,0
Marko Ivanović (markoivanovic8000),Croatian,210,176,0,0
Riko Surya Ardiansyah (rikosurya182),Indonesian,205,183,0,0
Boman,Norwegian,204,197,0,0
Adrao Apxan (aarspar),Indonesian,200,189,0,3
Bojan Mitrovic (Aimbot91),Serbian (Cyrillic),195,169,0,0
kojak1989,Polish,192,181,0,0
Pontus Evnert (pontusevnert),Swedish,187,172,0,6
Николай Шахов (shjin777),Russian,184,147,0,0
‫محمد الحربي‬‎ (raaayg),Arabic,181,125,0,3
Ruslan Musiakaev (Human_being),Russian,178,148,0,7
Fiki Maulana (fikimaul),Indonesian,178,161,0,0
riouts,Chinese Simplified,176,300,0,16
Georges Mathieu (dizwix),French,174,204,0,0
rodchanat khunakorn (rod8711),Thai,166,64,0,1
dansaiblis,Indonesian,165,155,0,4
pechorin,German,164,162,0,0
crian,German,163,148,0,187
YouLose66,German,158,148,0,0
EDeb744,Spanish,155,189,0,0
Lennart van Nieuwenhuijzen (lvnieuwenhuijzen),Dutch,154,158,0,0
Matei M (mateimarcu4),Romanian,154,145,0,0
Việt Anh (vietanh8i1998),Vietnamese,149,216,0,0
Kowalski OmniROM (Kowalski_OmniROM),French,149,172,359,294
Md.Kamruzzaman Mazumder (shujanster),Bengali,149,258,0,0
SOYANG JANG (girin.syu),Chinese Simplified,147,212,0,0
Nicola Bortoletto (bortoetto),Italian,144,159,0,0
Jan Niklas (sdjtvDesign) (sdjtv5),German,143,137,0,13
Никита Кушлеев (BlackJetCat),Russian,142,127,0,1
Vikas Kumar (vk8298416),Spanish; Hindi,141,171,0,0
Nils Wasser (BobQuentok),German,141,117,0,2
mads nielsen (mads4295kk),Danish,133,138,0,0
Daniel Villalobos (daniel.villalobosdel),Spanish,132,130,0,0
Jimmy Sunnegård (villhafluga),Swedish,129,111,0,0
